nombre de coeurs,mesure
2,1.51
2,1.52
2,1.60
2,1.62
2,1.42
4,1.85
4,1.60
4,1.77
4,1.83
4,1.80
8,2.05
8,1.99
8,2.29
8,2.30
8,2.31
16,3.24
16,3.31
16,3.36
16,3.43
16,3.42
32,5.84
32,5.91
32,5.86
32,6.99
32,5.62
64,10.35
64,10.19
64,10.26
64,10.43
64,10.05
